coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
2311973,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:6104add6-c0f1-4fe5-9d2c-e840105df20a,"2015-03-17 15:07:41"
2311928,"H. D. Thiers",,unknown,,"Mycena lilacifolia",,"(Peck) A.H. Sm.",,,,,,,urn:uuid:057a9f9f-2636-4bdc-a4ab-86244415685c,"2015-03-17 15:17:49"
2425998,"R. Halling",,unknown,,"Lyophyllum montanum",,"A.H. Sm.",,,,,,,urn:uuid:6e7cde3e-656c-4808-a505-e4dc4d404022,"2015-03-22 17:25:24"
657444,"Buyck et al.",,2008,,"Multifurca zonaria",,"(Buyck & Desjardin) Buyck & V. Hofstetter",,,,,,,urn:uuid:fea4ab0e-eaac-4ed3-86c1-59d33459db2e,"2015-03-26 14:55:55"
2180139,"R. Halling",,unknown,,"Panaeolus solidipes",,"(Peck) Sacc.",,,,,,,urn:uuid:4c58211b-59ab-4f1c-9398-5b5c52a5193c,"2015-03-30 19:20:40"
1449433,"M. Seidl",,unknown,,"Xanthoconium purpureum",,"Snell & E.A. Dick",,,,,,,urn:uuid:bf866c3c-5fab-4978-a1b1-76937155cf72,"2015-04-14 11:31:16"
2466462,"D. E. Desjardin",,"21 Sept. 1983",,"Marasmius pallidocephalus",,Gilliam,,,,,,"Cheilocystidia absent. NO broom cells on lamellar edge. Stipe cortical hyphae spirally and granular incrusted.",urn:uuid:2c93a955-3017-46f1-b376-766152d49814,"2015-04-14 11:41:21"
2466462,"J. W. Groves",,unknown,,"Marasmius androsaceus",,"(L.) Fr.",,,,,,,urn:uuid:484787df-33ab-4699-923c-763d22f41a5a,"2015-04-14 11:41:21"
2466463,"J. W. Groves",,unknown,,"Marasmius androsaceus",,"(L.) Fr.",,,,,,,urn:uuid:127cc91f-a450-4cb5-b22d-2ae21a75dde6,"2015-04-14 13:45:27"
2476642,"A. H. Smith",,Unknown,,"Marasmius elongatipes",,Peck,,,,,,,urn:uuid:da787c97-490d-4e9c-ae3e-96df896b0137,"2015-05-04 19:11:55"
2487230,"H. D. Thiers",,unknown,,"Marasmius foetidus",,"(Sowerby) Fr.",,,,,,,urn:uuid:e64a8f0c-7769-4c55-889d-3e7b2cc05bd7,"2015-05-18 12:39:57"
2262929,"D. L. Largent",,unknown,,"Rhodophyllus madidus",,"(Fr.) Quél.",,,,,,,urn:uuid:809ae20c-b8ef-482b-a348-3b418834474d,"2015-05-27 12:23:30"
