coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
2164019,"H. D. Thiers",,"5 Feb. 1982",,"Amanita constricta",,"Thiers & Ammirati",,,,,,,urn:uuid:8b8a960c-77d6-45f7-a2f9-aec9f8150cce,"2015-01-20 13:21:49"
2162778,"G. Breckon",,unknown,,"Amanita rubescens",,Pers.,,,,,,,urn:uuid:998251f2-5ae3-4da1-8560-78d0cef0c689,"2015-01-20 16:49:26"
2162971,"H. D. Thiers",,unknown,,"Amanita rubescens",,Pers.,,,,,,,urn:uuid:91145afd-3ab4-479f-9f62-d5d647ff1701,"2015-01-20 16:50:42"
2162968,"G. Breckon",,unknown,,"Amanita rubescens",,Pers.,,,,,,,urn:uuid:97c5e5c8-9c37-4509-9a59-04f79692b19a,"2015-01-20 16:51:48"
2162964,"W. J. Sundberg",,unknown,,"Amanita rubescens",,Pers.,,,,,,,urn:uuid:c6ddb855-e091-49a6-8fb9-ce140ed83b7e,"2015-01-20 16:52:48"
2162959,"G. Breckon",,unknown,,"Amanita rubescens",,Pers.,,,,,,,urn:uuid:795d0319-1f50-42b2-9d27-302c6fe2ca16,"2015-01-20 16:53:56"
2162954,"H. D. Thiers",,unknown,,"Amanita rubescens",,Pers.,,,,,,,urn:uuid:41ad9171-7cf0-4bfb-a128-95bc9a573f14,"2015-01-20 16:54:59"
2162944,"C. Calhoun",,unknwon,,"Amanita rubescens",,Pers.,,,,,,,urn:uuid:91f83376-581e-46fa-8202-336f6df8169a,"2015-01-20 16:56:39"
2162935,"M. Seidl",,unknown,,"Amanita rubescens",,Pers.,,,,,,,urn:uuid:747d2675-d712-43f6-bf7c-438d79992d20,"2015-01-20 16:57:47"
2162916,"R. Keller",,unknown,,"Amanita rubescens",,Pers.,,,,,,,urn:uuid:456fea44-c8c1-4364-83f5-e67b593d7611,"2015-01-20 16:59:01"
2162911,"R. Keller",,unknown,,"Amanita rubescens",,Pers.,,,,,,,urn:uuid:3fa8c7fa-6715-46f4-93ef-8c4f57e1898d,"2015-01-20 17:00:08"
2162913,"R. Keller",,unknown,,"Amanita rubescens",,Pers.,,,,,,,urn:uuid:6f30cebc-f977-4f57-b528-ba9236e94bd1,"2015-01-20 17:02:00"
2162784,"G. Breckon",,unknown,,"Amanita rubescens",,Pers.,,,,,,,urn:uuid:176091bc-c667-4ed9-8733-72ec9e3a7afb,"2015-01-20 17:03:18"
2162792,"G. Breckon",,unknown,,"Amanita rubescens",,Pers.,,,,,,,urn:uuid:d59b2fcc-fb16-46c6-8b96-4199f2253a82,"2015-01-20 17:04:23"
2162890,"C. Calhoun",,unknown,,"Amanita rubescens",,Pers.,,,,,,,urn:uuid:73096a5e-66b2-4222-a41e-e19dfabb3f3e,"2015-01-20 17:06:06"
2162900,"C. Calhoun",,unknown,,"Amanita rubescens",,Pers.,,,,,,,urn:uuid:a56d339c-7e8b-41b8-9a30-8560440e08a0,"2015-01-20 17:07:11"
2162817,"S. Sisk",,unknown,,"Amanita rubescens",,Pers.,,,,,,,urn:uuid:21b5f52e-88c3-4bd5-beba-e4cff4af626a,"2015-01-20 17:08:45"
2162881,"R. Keller",,unknown,,"Amanita rubescens",,Pers.,,,,,,,urn:uuid:fcdce745-f6eb-4b98-84ee-55a8c61351a2,"2015-01-20 17:10:10"
2165515,"H. D. Thiers; R. E. Tulloss",,"5 Feb. 1982; 10/19/91",,"Amanita smithiana",,Bas,,,,,,,urn:uuid:6ded9811-3afe-4226-a1ca-f2ceff77e7bc,"2015-01-20 17:19:48"
2165515,"R. Shervanick",,unknown,,"Amanita solitaria",,"(Bull.) Fr.",,,,,,,urn:uuid:ff6d24bc-593f-4ec7-931e-4a7080dc6ef1,"2015-01-20 17:19:48"
2160376,"H. D. Thiers",,"5 Mar 1987 [?]",,"Amanita magniverrucata",,"Thiers & Ammirati",,,,,,,urn:uuid:6c77f698-6e31-422a-bc27-ec0d5295f5f8,"2015-01-20 17:22:11"
2160376,"C. Calhoun",,unknown,,"Amanita solitaria",,"(Bull.) Fr.",,,,,,,urn:uuid:02bc3295-5483-4486-afa7-12d45a657408,"2015-01-20 17:22:11"
2165525,"H. D. Thiers",,"5 Feb. 1982",,"Amanita smithiana",,Bas,,,,,,,urn:uuid:16f40e4a-2087-4cee-9bcb-96e0008e2222,"2015-01-20 17:27:16"
2165525,"A. Wennekens",,unknown,,"Amanita silvicola",,Kauffman,,,,,,,urn:uuid:39b7df48-84b2-43e4-94d2-a09f0d74b571,"2015-01-20 17:27:16"
2084170,"C. Calhoun",,unknown,,"Agaricus rodmanii",,Peck,,,,,,,urn:uuid:d827343e-417a-4e8c-91fd-117518a629b8,"2015-01-21 19:23:36"
2425989,"A. H. Smith",,unknown,,"Lyophyllum montanum",,"A.H. Sm.",,,,,,,urn:uuid:c63aacd4-1931-438a-8c7c-d16744f99ada,"2015-01-30 13:09:11"
1450936,"B. Stein",,unknown,,"Boletus aereus",,Bull.,,,,,,,urn:uuid:df9fb37b-f59e-467d-8967-20be0cf1b1fa,"2015-01-30 13:31:07"
1448996,"D. E. Desjardin",,8/22/97,,"Chalciporus piperatus",,"(Bull.) Bataille",,,,,,,urn:uuid:b020128e-bd2e-4248-b68f-e0339052b602,"2015-02-17 12:03:30"
1448999,"D. E. Desjardin",,unknown,,"Chalciporus piperatus",,"(Bull.) Bataille",,,,,,,urn:uuid:c50204c6-9b08-4988-a663-d1c40fee0df9,"2015-02-17 12:04:30"
1449011,"D. E. Desjardin",,unknown,,"Chalciporus piperatus",,"(Bull.) Bataille",,,,,,,urn:uuid:c0ae68c4-6ff9-4752-b2b9-12d4214254f9,"2015-02-17 12:05:27"
2437103,"J. R. Blair",,unknown,,"Lyophyllum semitale",,,,,,,,,urn:uuid:22c3a462-0023-4935-bd82-cc45d03840cc,"2015-02-17 17:37:11"
1449418,"D. Arora",,unknown,,"Caloboletus marshii",,"D. Arora, C.F. Schwarz & J.L. Frank",,,,,"Index Fungorum no. 194",,urn:uuid:187ac06d-5c59-4825-b7c1-90f061aeba2f,"2015-02-20 10:48:10"
2024619,"D. Arora",,unknown,,"Butyriboletus abieticola",,"(Thiers) D. Arora & J. L. Frank",,,,,"D. Arora & J. L. Frank, 2014. Mycologia 106: 464-480.",,urn:uuid:2229843c-e4bd-4911-8a83-3901ede23a17,"2015-02-20 11:16:11"
2024569,"D. Arora",,unknown,,"Butyriboletus abieticola",,"(Thiers) D. Arora & J. L. Frank",,,,,"Arora & Frank, 2014. Mycologia 106: 464-480.",,urn:uuid:1df95c9b-f2ea-4229-bcd8-7469cbe131a4,"2015-02-20 13:56:19"
2024570,"D. Arora",,unknown,,"Butyriboletus abieticola",,"(Thiers) D. Arora & J. L. Frank",,,,,"Arora & Frank, 2014. Mycologia 106: 464-480.",,urn:uuid:51dfe691-2312-4c3c-ae6c-70c8ebaa989a,"2015-02-20 13:57:48"
2425993,"H. D. Thiers",,unknown,,"Lyophyllum montanum",,"A.H. Sm.",,,,,,,urn:uuid:914cafe8-adcb-462c-ab43-a34fad7540ef,"2015-02-24 11:47:49"
